,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
61716,13,RM,13122,PEÑALOLÉN,3,0,5,3,12935330,1,17,13,"6,4",85,I39S6C28J1V1,1,2021,Universidades Privadas,both
65503,13,RM,13110,LA FLORIDA,2,0,5,3,21878727,1,18,13,"6,5",100,I111S12C48J1V1,1,2021,Institutos Profesionales,both
49320,5,VALPO,5109,VIÑA DEL MAR,3,0,5,3,20295257,1,17,5,"5,4",87,I100S24C144J1V1,1,2021,Institutos Profesionales,both
1174,2,ANTOF,2302,MARÍA ELENA,1,0,5,3,22259952,1,17,2,"6,3",90,I73S2C337J1V1,1,2021,Universidades Estatales CRUCH,both
12378,7,MAULE,7301,CURICÓ,2,0,5,3,12202180,1,17,7,"6,8",100,I78S1C43J1V1,1,2021,Universidades Estatales CRUCH,both
63204,13,RM,13109,LA CISTERNA,2,0,5,3,17585161,1,17,13,"6,9",87,I70S1C158J1V1,1,2021,Universidades Estatales CRUCH,both
9905,5,VALPO,5601,SAN ANTONIO,2,0,5,3,24020170,1,17,5,"6,7",88,I88S6C11J1V1,1,2021,Universidades Privadas CRUCH,both
61965,13,RM,13113,LA REINA,2,0,5,3,16599852,2,17,13,"6,4",100,I20S1C84J1V1,2,2021,Universidades Privadas,both
67505,5,VALPO,5101,VALPARAÍSO,3,0,5,3,16228218,1,17,13,"6,4",94,I88S1C19J1V1,1,2021,Universidades Privadas CRUCH,both
37928,13,RM,13126,QUINTA NORMAL,1,0,5,3,25972088,2,17,13,"6,2",100,I4S1C1J1V1,2,2021,Universidades Privadas,both
47892,4,COQ,4304,PUNITAQUI,2,0,5,3,15032146,2,17,4,"5,9",100,I116S18C196J1V1,2,2021,Institutos Profesionales,both
21375,9,ARAUC,9101,TEMUCO,2,0,7,3,22795999,1,17,8,"6,2",100,I260S11C285J1V1,1,2021,Centros de Formación Técnica,both
67944,1,TPCA,1101,IQUIQUE,2,0,5,3,21075223,2,17,1,"6,3",88,I81S1C69J1V1,2,2021,Universidades Estatales CRUCH,both
29160,13,RM,13101,SANTIAGO,3,0,5,3,17587869,2,18,13,7,99,I86S5C301J1V1,2,2021,Universidades Privadas CRUCH,both
